Comment,Author,Date,Score
What? Surely not.,triggernaut,2025-05-06T12:52:53,10
She jumped in front of the line while a person who is in a wheelchair waited.   She hates people in wheelchairs.,MaBonneVie,2025-05-06T14:43:54,5
I wasn’t there. But I get heavy “don’t you know who I am?!” vibes from her.,Narrow-Trash-8839,2025-05-08T09:34:43,2
Now try IQ power! ,GetADamnJobYaBum,2025-05-06T14:37:21,3
![gif](giphy|EClkor8zYeOvs9StMN),baseball_Lover33,2025-05-09T20:43:12,1
